codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
219A	PISO DE ATENCAO BASICA EM SAUDE	
219C	ASSISTENCIA EMERGENCIAL E ACOLHIMENTO HUMANITARIO DE PESSOAS ADVINDAS DA REPUBLICA BOLIVARIANA DA VENEZUELA	
219D	ADEQUACAO DE ORGANIZACOES MILITARES	
219E	ACOES DE PROTECAO SOCIAL BASICA	
219F	ACOES DE PROTECAO SOCIAL ESPECIAL	
219J	APOIO A GESTAO DA CONSERVACAO E DO USO SUSTENTAVEL DA BIODIVERSIDADE E DO PATRIMONIO GENETICO	
219K	GESTAO DAS COLECOES VIVAS, DO PATRIMONIO HISTORICO-CULTURAL E DAS ATIVIDADES DE DISSEMINACAO DO CONHECIMENTO NO JARDIM BOTANICO DO RIO DE JANEIRO	
219L	SERVICO PUBLICO DE PRODUCAO DE SELOS FISCAIS FEDERAIS	
219M	IMPLEMENTACAO DO PROGRAMA DE PROTECAO INTEGRADA DE FRONTEIRAS (PPIF)	
219N	GOVERNANCA FUNDIARIA E GERENCIAMENTO DO CADASTRO RURAL	
219O	FUNCIONAMENTO DO CONSELHO NACIONAL DOS DIREITOS HUMANOS	
219Q	PROMOCAO DOS DIREITOS DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS E TRANSEXUAIS	
219R	MELHORIA DA QUALIDADE REGULATORIA DO SETOR DE SANEAMENTO	
219S	DESENVOLVIMENTO E FORTALECIMENTO DA ECONOMIA DA CULTURA	
219W	INTEROPERABILIDADE DE SISTEMAS DE DEFESA	
2211	SOLUcoES DE TECNOLOGIA DA INFORMAcaO PARA O GOVERNO FEDERAL	
2223	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE RECURSOS HIDRICOS (CT-HIDRO)	Ciência e Tecnologia
2230	GESTAO DA DOCUMENTACAO E DISSEMINACAO DE INFORMACOES	Administração
2237	AUDITORIA E FISCALIZACAO TRIBUTARIA E ADUANEIRA	Administração
2238	ARRECADACAO TRIBUTARIA E ADUANEIRA	Administração
2244	RECUPERACAO DE CREDITOS, CONSULTORIA, REPRESENTACAO JUDICIAL E EXTRAJUDICIAL DA FAZENDA NACIONAL	Administração
2250	SELECAO, FORMACAO E DESENVOLVIMENTO DE PESSOAS	Administração
2274	ASSISTENCIA TECNICA AOS REGIMES PROPRIOS DE PREVIDENCIA	Previdência Social
2276	AUDITORIA NOS REGIMES PROPRIOS DOS SERVIDORES PUBLICOS	Previdência Social
2290	FUNCIONAMENTO DOS ORGAOS COLEGIADOS DA PREVIDENCIA COMPLEMENTAR: CONSELHO NACIONAL DE PREVIDENCIA COMPLEMENTAR E CAMARA DE RECURSOS DA PREVIDENCIA COMPLEMENTAR	Previdência Social
2292	SERVICO DE PROCESSAMENTO DE DADOS DE BENEFICIOS PREVIDENCIARIOS	Previdência Social
2294	DEFESA JUDICIAL DA PREVIDENCIA SOCIAL BASICA	Previdência Social
22BO	ACOES DE DEFESA CIVIL	Segurança Pública
2317	ACESSO A INFORMACAO CIENTIFICA E TECNOLOGICA	Educação
2320	MANUTENCAO DO SISTEMA INTEGRADO DE EDUCACAO E VALORIZACAO PROFISSIONAL	Segurança Pública
2325	OPERACAO DO SISTEMA DE PESAGEM DE VEICULOS	Transporte
2334	PROTECAO E DEFESA DO CONSUMIDOR	Direitos da Cidadania
2345	APOIO LOGISTICO A PESQUISA CIENTIFICA NA ANTARTICA	Defesa Nacional
2348	FISCALIZACAO DA EXPLORACAO DA INFRAESTRUTURA FERROVIARIA E DE BENS OPERACIONAIS	Transporte
2357	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR ESPACIAL (CT-ESPACIAL)	Ciência e Tecnologia
2367	ANALISE E DIVULGACAO DA POLITICA EXTERNA BRASILEIRA, DE RELACOES INTERNACIONAIS E DA HISTORIA DIPLOMATICA DO BRASIL	Relações Exteriores
2374	FOMENTO AO DESENVOLVIMENTO DE MICRO, PEQUENAS E EMPRESAS DE MEDIO PORTE	Trabalho
2377	GESTAO DA EMISSAO, MANUTENCAO E EXTINCAO DE DIREITOS MINERARIOS	Indústria
2378	OPERACAO DA REDE HIDROMETEOROLOGICA	Gestão Ambiental
2384	DIREITOS SOCIAIS E CULTURAIS E A CIDADANIA	Direitos da Cidadania
2397	LEVANTAMENTOS HIDROGEOLOGICOS	Indústria
2398	LEVANTAMENTOS GEOLOGICOS	Indústria
2399	AVALIACAO DOS RECURSOS MINERAIS DO BRASIL	Indústria
2424	FISCALIZACAO EM TELECOMUNICACOES	Comunicações
2452	ADEQUACAO DA INFRAESTRUTURA DOS PELOTOES ESPECIAIS DE FRONTEIRA DA REGIAO DO CALHA NORTE	Defesa Nacional
2463	FOMENTO A PESQUISA E DESENVOLVIMENTO DE TECNOLOGIA NUCLEAR	Ciência e Tecnologia
2464	ARMAZENAMENTO INTERMEDIARIO DE REJEITOS RADIOATIVOS DE BAIXO OU MEDIO NIVEL DE RADIACAO	Ciência e Tecnologia
2468	ATENDIMENTO A EMERGENCIAS RADIOLOGICAS E NUCLEARES	Ciência e Tecnologia
2478	PRODUCAO E FORNECIMENTO DE RADIOFARMACOS NO PAIS	Ciência e Tecnologia
2482	FABRICACAO DO COMBUSTIVEL NUCLEAR	Ciência e Tecnologia
2489	PRODUCAO DE MINERAIS PESADOS E OXIDOS DE TERRAS RARAS	Ciência e Tecnologia
2495	CONTROLE DE BENS SENSIVEIS	Ciência e Tecnologia
2510	PRESTACAO DE ENSINO PROFISSIONAL MARITIMO	Defesa Nacional
2518	APOIO A PESQUISA E AO MONITORAMENTO OCEANOGRAFICO E CLIMATOLOGICO DA AMAZONIA AZUL	Defesa Nacional
2522	PRODUCAO DE FARMACOS, MEDICAMENTOS E FITOTERAPICOS	Educação
2532	COOPERACAO COM PAISES DE LINGUA PORTUGUESA E PAISES MEMBROS DE ORGANISMOS REGIONAIS AFRICANOS	Relações Exteriores
2533	COOPERACAO TECNICA INTERNACIONAL	Relações Exteriores
2534	FORMACAO E APERFEICOAMENTO DE DIPLOMATAS	Relações Exteriores
2536	DEMARCACAO DE FRONTEIRAS	Relações Exteriores
2541	OPERACAO DO SISTEMA DE INFORMACAO EM CIENCIA, TECNOLOGIA E INOVACAO - SICTEX	Relações Exteriores
2553	IDENTIFICACAO DA POPULACAO POR MEIO DA CARTEIRA DE TRABALHO E PREVIDENCIA SOCIAL - CTPS	Trabalho
2562	AUDITORIA PREVENTIVA E CORRETIVA EM ROTINAS, PROCEDIMENTOS E PROCESSOS	Previdência Social
2563	GESTAO DA MELHORIA CONTINUA	Previdência Social
2564	GESTAO DE CADASTROS PARA A PREVIDENCIA SOCIAL	Previdência Social
2583	PROCESSAMENTO DE DADOS DO BENEFICIO DE PRESTACAO CONTINUADA (BPC) E DA RENDA MENSAL VITALICIA (RMV)	Assistência Social
2585	SERVICO DE REABILITACAO PROFISSIONAL	Previdência Social
2586	MANUTENCAO DO SISTEMA DE EMISSAO DE PASSAPORTE, CONTROLE DO TRAFEGO INTERNACIONAL E DE REGISTROS DE ESTRANGEIROS	Segurança Pública
2587	SERVICOS DE OUVIDORIA AOS USUARIOS DA PREVIDENCIA SOCIAL	Previdência Social
2589	AVALIACAO E OPERACIONALIZACAO DO BENEFICIO DE PRESTACAO CONTINUADA DA ASSISTENCIA SOCIAL (BPC) E MANUTENCAO DA RENDA MENSAL VITALICIA (RMV)	Assistência Social
2591	RECONHECIMENTO DE DIREITOS DE BENEFICIOS PREVIDENCIARIOS	Previdência Social
2592	AUTORIZACAO, MONITORAMENTO E FISCALIZACAO DAS ENTIDADES FECHADAS DE PREVIDENCIA COMPLEMENTAR	Previdência Social
2593	FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS DA PREVIDENCIA SOCIAL	Previdência Social
2599	FORMULACAO, ARTICULACAO E EXECUCAO DA POLITICA LABORAL DE IMIGRACAO E EMIGRACAO	Trabalho
2674	REPRESENTACAO JUDICIAL E EXTRAJUDICIAL DA UNIAO E SUAS AUTARQUIAS E FUNDACOES FEDERAIS	Essencial à Justiça
2675	COMUNICACAO E TRANSMISSAO DE ATOS E FATOS DO GOVERNO FEDERAL	Administração
2684	ACOES DE INTELIGENCIA	Segurança Pública
2692	FISCALIZACAO DO CUMPRIMENTO DAS CONTRAPARTIDAS PELAS EMPRESAS HABILITADAS EM PROGRAMAS DE POLITICA INDUSTRIAL COM BENEFICIOS FISCAIS	Indústria
2723	POLICIAMENTO OSTENSIVO NAS RODOVIAS E ESTRADAS FEDERAIS, COMBATE A VIOLENCIA NO TRANSITO E ACOES EDUCATIVAS	Segurança Pública
2726	PREVENCAO E REPRESSAO AO TRAFICO ILICITO DE DROGAS E A CRIMES PRATICADOS CONTRA BENS, SERVICOS E INTERESSES DA UNIAO	Segurança Pública
2733	QUALIFICACAO E DEMOCRATIZACAO DO PROCESSO ADMINISTRATIVO E ELABORACAO NORMATIVA	Direitos da Cidadania
2784	PROMOCAO DO CONSUMO DE ALIMENTOS ADEQUADOS E SAUDAVEIS	Assistência Social
2792	DISTRIBUICAO DE ALIMENTOS A GRUPOS POPULACIONAIS TRADICIONAIS E ESPECIFICOS	Assistência Social
2798	AQUISICAO E DISTRIBUICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR PARA PROMOCAO DA SEGURANCA ALIMENTAR E NUTRICIONAL	Assistência Social
2804	EDICAO, PRODUCAO, DIVULGACAO E DISTRIBUICAO DE PUBLICACOES OFICIAIS	Administração
2807	PROMOCAO E DEFESA DA CONCORRENCIA	Direitos da Cidadania
2810	GESTAO, PRESERVACAO, ACESSO E DIFUSAO DE DOCUMENTOS ARQUIVISTICOS	Administração
2819	FUNCIONAMENTO DE ESTACOES E CENTROS DE PESQUISA EM AQUICULTURA	Agricultura
2843	FUNCIONAMENTO DOS SISTEMAS DE TRANSPORTE FERROVIARIO URBANO DE PASSAGEIROS	Urbanismo
2865	MANUTENCAO E SUPRIMENTO DE FARDAMENTO	Defesa Nacional
2866	ACOES DE CARATER SIGILOSO	Defesa Nacional
2867	ATIVOS MILITARES DAS FORCAS ARMADAS	Defesa Nacional
2868	COMBUSTIVEIS E LUBRIFICANTES DE AVIACAO	Defesa Nacional
2869	OPERACAO DAS LINHAS DE NAVEGACAO NO LAGO DE TRES MARIAS	Transporte
2872	MOBILIZACAO PARA O SERVICO MILITAR OBRIGATORIO	Defesa Nacional
2900	SELECAO PARA O SERVICO MILITAR E APRESENTACAO DA RESERVA EM DISPONIBILIDADE	Defesa Nacional
2907	FISCALIZACAO DA EXPLORACAO DA INFRAESTRUTURA RODOVIARIA	Transporte
2911	MODERNIZACAO DAS ORGANIZACOES MILITARES DE ENGENHARIA DO EXERCITO	Defesa Nacional
2912	REGULACAO E FISCALIZACAO DA AVIACAO CIVIL	Transporte
2913	INVESTIGACAO E PREVENCAO DE ACIDENTES AERONAUTICOS	Defesa Nacional
2916	INSTRUCAO E TREINAMENTO TECNICO-OPERACIONAL DA AERONAUTICA	Defesa Nacional
2919	REGISTRO E FISCALIZACAO DE PRODUTOS CONTROLADOS	Defesa Nacional
2972	EDUCACAO PARA CONSERVACAO DA BIODIVERSIDADE	Gestão Ambiental
2976	CONSERVACAO E USO SUSTENTAVEL DE ESPECIES AMEACADAS DE EXTINCAO	Gestão Ambiental
2993	OUVIDORIA SETORIAL DA AGENCIA NACIONAL DE ENERGIA ELETRICA	Energia
2994	ASSISTENCIA AOS ESTUDANTES DAS INSTITUICOES FEDERAIS DE EDUCACAO PROFISSIONAL E TECNOLOGICA	Educação
2997	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE SAUDE (CT-SAUDE)	Ciência e Tecnologia
2A60	SERVICOS DE PROTECAO SOCIAL BASICA	Assistência Social
2A65	SERVICOS DE PROTECAO SOCIAL ESPECIAL DE MEDIA COMPLEXIDADE	Assistência Social
2A69	SERVICOS DE PROTECAO SOCIAL ESPECIAL DE ALTA COMPLEXIDADE	Assistência Social
2A82	PRESTACAO DE ENSINO DE GRADUACAO E POS-GRADUACAO NO INSTITUTO MILITAR DE ENGENHARIA	Defesa Nacional
2A95	ELEVACAO DA ESCOLARIDADE E QUALIFICACAO PROFISSIONAL - PROJOVEM	Trabalho
2B00	FORCA NACIONAL DE SEGURANCA PUBLICA	Segurança Pública
2B12	FOMENTO AO DESENVOLVIMENTO DE INSTITUICOES DE MICROCREDITO	Trabalho
2B27	SISTEMA DE PROTECAO AO PROGRAMA NUCLEAR BRASILEIRO - SIPRON	Administração
2B28	APOIO AO DESENVOLVIMENTO DE TECNOLOGIAS DE INTERESSE DA DEFESA NACIONAL	Defesa Nacional
2B30	ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL BASICA	Assistência Social
2B31	ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL	Assistência Social
2B32	FORMACAO ESPECIALIZADA PARA O SETOR NUCLEAR	Ciência e Tecnologia
2B34	GESTAO DE POLITICAS DE MEIO AMBIENTE	Gestão Ambiental
2B42	COOPERACAO TECNICA NACIONAL E INTERNACIONAL EM CIENCIA E TECNOLOGIA EM SAUDE	Saúde
2B51	GESTAO DA INFORMACAO GEOLOGICA	Indústria
2B52	DESENVOLVIMENTO INSTITUCIONAL DA GESTAO ORCAMENTARIA, FINANCEIRA E CONTABIL DO FUNDO NACIONAL DE SAUDE E DOS FUNDOS ESTADUAIS E MUNICIPAIS DE SAUDE	Saúde
2B53	PRODUCAO LABORATORIAL DE ANALISES MINERAIS - LAMIN	Indústria
2B68	RELACOES COM OS USUARIOS DE SERVICOS DE TELECOMUNICACOES	Comunicações
2B81	AQUISICAO DE ALIMENTOS DA AGRICULTURA FAMILIAR - PAA	Organização Agrária
2B82	FORTALECIMENTO DA CAPACIDADE INSTITUCIONAL DO ESTADO BRASILEIRO PARA GESTAO EM REGULACAO	Administração
2C01	PROMOCAO DE INVESTIMENTOS PRIVADOS E FINANCIAMENTO NO SETOR DE TURISMO	Comércio e Serviços
2C11	APOIO TECNICO E ADMINISTRATIVO A EQUIPE DE TRANSICAO DE GOVERNO	Administração
2C42	PARTICIPACAO PUBLICA NA AGENDA REGULATORIA DO SETOR ELETRICO	Energia
2C43	GESTAO PARTICIPATIVA DO FUNDO DE AMPARO AO TRABALHADOR - FAT	Trabalho
2C45	AGENDA NACIONAL DE TRABALHO DECENTE	Trabalho
2C55	DISSEMINACAO DE CONDUTA ETICA NO PODER EXECUTIVO FEDERAL	Administração
2C67	PESQUISA E DESENVOLVIMENTO NO CENTRO DE TECNOLOGIAS ESTRATEGICAS DO NORDESTE - CETENE	Ciência e Tecnologia
2D30	AUXILIO-ALIMENTACAO AO PESSOAL ATIVO MILITAR DOS EXTINTOS TERRITORIOS (LEI 10.486/2002, ART. 65)	Administração
2D49	APOIO AO DESENVOLVIMENTO INSTITUCIONAL PARA A GESTAO DOS SISTEMAS DE MOBILIDADE URBANA	Urbanismo
2D55	INTERCAMBIO E COOPERACAO INTERNACIONAL NA AREA DE DEFESA	Defesa Nacional
2D58	CONTROLE INTERNO, PREVENCAO A CORRUPCAO, OUVIDORIA E CORREICAO	Administração
2D62	LEVANTAMENTOS DA GEODIVERSIDADE	Indústria
2D84	LEVANTAMENTOS GEOQUIMICOS	Indústria
2D93	MONITORAMENTO HIDROAMBIENTAL NOS RESERVATORIOS DO DNOCS	Gestão Ambiental
2E24	FORMULACAO, DESENVOLVIMENTO E CAPACITACAO PARA PARTICIPACAO SOCIAL	Administração
2E47	ESTRUTURACAO DE LABORATORIO OFICIAL PUBLICO E PRODUCAO DE MEDICAMENTOS, SOROS, VACINAS E INSUMOS ESTRATEGICOS	Saúde
2E74	ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS	Defesa Nacional
2E76	REMOCAO DE NAVIO NAUFRAGADO NO PORTO DE VILA DO CONDE EM BARCARENA (PA)	Transporte
2E79	EXPANSAO E CONSOLIDACAO DA ATENCAO BASICA (POLITICA NACIONAL DE ATENCAO BASICA-PNAB)	Saúde
2E81	MANUTENCAO DE TRECHO RODOVIARIO - KM 274,3 - KM 684,1 - NA BR-364/AC	Transporte
2E82	MANUTENCAO DE TRECHO RODOVIARIO - BOA VISTA - BONFIM - NA BR-401/RR	Transporte
2E84	PREVENCAO, CONTROLE E TRATAMENTO DE DOENCAS NEGLIGENCIADAS NA ATENCAO BASICA	Saúde
2E87	CONTROLE DA POPULACAO DE ANIMAIS EM SITUACOES EXCEPCIONAIS (CASTRACAO E ATENCAO VETERINARIA - LDO 2019, ART. 41)	
3138	IMPLANTACAO DO SISTEMA DE AVIACAO DO EXERCITO	Defesa Nacional
3715	CONSTRUCAO DA BARRAGEM BERIZAL NO RIO PARDO NO ESTADO DE MINAS GERAIS	Gestão Ambiental
3735	CONSTRUCAO DA BARRAGEM CONGONHAS NO ESTADO DE MINAS GERAIS	Gestão Ambiental
3766	ADEQUACAO DE TRECHO RODOVIARIO - DIVISA SC/RS - OSORIO/RS - NA BR-101/RS	Transporte
3770	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO LUIZ ALVES DO ARAGUAIA - 1. E 2. ETAPA - COM 6.584 HA NO ESTADO DE GOIAS	Agricultura
3883	IMPLANTACAO E MELHORIA DE SERVICOS DE DRENAGEM E MANEJO DAS AGUAS PLUVIAIS URBANAS PARA PREVENCAO E CONTROLE DE DOENCAS E AGRAVOS EM AREAS ENDEMICAS DE MALARIA	Saúde
3921	IMPLANTACAO DE MELHORIAS HABITACIONAIS PARA CONTROLE DA DOENCA DE CHAGAS	Saúde
3974	IMPLANTACAO DA PLATAFORMA NACIONAL DE INFORMACOES SOBRE JUSTICA, CIDADANIA E SEGURANCA PUBLICA	Segurança Pública
3E49	ADEQUACAO DE ACESSO RODOVIARIO AO PORTO DE ITAGUAI - NA BR-101/RJ	Transporte
3E50	ADEQUACAO DE TRECHO RODOVIARIO - ENTRONCAMENTO BR-101 (MANILHA) - ENTRONCAMENTO BR-116 (SANTA GUILHERMINA) - NA BR-493/RJ	Transporte
3E56	ADEQUACAO DE ACESSO RODOVIARIO AO PORTO DE ITAJAI - NA BR-101/SC	Transporte
4000	ESTUDOS E PESQUISAS EDUCACIONAIS E SOCIOEDUCATIVAS	Educação
4002	ASSISTENCIA AO ESTUDANTE DE ENSINO SUPERIOR	Educação
4005	APOIO A RESIDENCIA EM SAUDE	Educação
4014	CENSO ESCOLAR DA EDUCACAO BASICA	Educação
4031	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE BIOTECNOLOGIA (CT-BIOTECNOLOGIA)	Ciência e Tecnologia
4043	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE AGRONEGOCIO (CT-AGRONEGOCIO)	Ciência e Tecnologia
4053	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR AERONAUTICO (CT-AERONAUTICO)	Ciência e Tecnologia
4055	FORTALECIMENTO DA POLITICA NACIONAL DE DESENVOLVIMENTO URBANO	Urbanismo
4086	FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS	Educação
4101	MANUTENÇÃO E ADEQUAÇÃO DE BENS IMÓVEIS	
4102	MANUTENÇÃO E ADEQUAÇÃO DE BENS MÓVEIS, VEÍCULOS, MÁQUINAS E EQUIPAMENTOS	
4103	MANUTENÇÃO E ADEQUAÇÃO DE ATIVOS DE INFORMÁTICA, INFORMAÇÃO E TELEPROCESSAMENTO	
4125	PESQUISA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO EM CIENCIAS SOCIAIS E NATURAIS NO MUSEU PARAENSE EMILIO GOELDI - MPEG	Ciência e Tecnologia
4126	PESQUISA E DESENVOLVIMENTO EM ASTROFISICA E ASTRONOMIA NO LABORATORIO NACIONAL DE ASTROFISICA - LNA	Ciência e Tecnologia
4128	PESQUISA E DESENVOLVIMENTO NO CENTRO DE TECNOLOGIA MINERAL - CETEM	Ciência e Tecnologia
4132	PESQUISA E DESENVOLVIMENTO NO INSTITUTO BRASILEIRO DE INFORMACAO EM CIENCIA E TECNOLOGIA - IBICT	Ciência e Tecnologia
4139	PESQUISA E DESENVOLVIMENTO NO LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA - LNCC	Ciência e Tecnologia
4148	APOIO A ENTIDADES PARA PROMOCAO DE EVENTOS CIENTIFICOS E TECNOLOGICOS	Ciência e Tecnologia
4156	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE PETROLEO E GAS NATURAL (CT-PETRO)	Ciência e Tecnologia
4185	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE TECNOLOGIA DA INFORMACAO (CT-INFO)	Ciência e Tecnologia
4210	FORMULACAO E GESTAO DA POLITICA NACIONAL DE CIENCIA, TECNOLOGIA, INOVACOES E COMUNICACOES	Ciência e Tecnologia
4245	CLASSIFICACAO BRASILEIRA DE OCUPACOES - CBO	Trabalho
4295	ATENCAO AOS PACIENTES PORTADORES DE DOENCAS HEMATOLOGICAS	Saúde
4324	ATENCAO A SAUDE DE POPULACOES RIBEIRINHAS E DE AREAS REMOTAS DA REGIAO AMAZONICA MEDIANTE COOPERACAO COM A MARINHA DO BRASIL E COM O EXERCITO BRASILEIRO	Saúde
4339	QUALIFICACAO DA REGULACAO E FISCALIZACAO DA SAUDE SUPLEMENTAR	Saúde
4349	MANUTENCAO DAS HIDROVIAS	Transporte
4368	PROMOCAO DA ASSISTENCIA FARMACEUTICA POR MEIO DA AQUISICAO DE MEDICAMENTOS DO COMPONENTE ESTRATEGICO	Saúde
4370	ATENDIMENTO A POPULACAO COM MEDICAMENTOS PARA TRATAMENTO DOS PORTADORES DE HIV/AIDS E OUTRAS DOENCAS SEXUALMENTE TRANSMISSIVEIS	Saúde
4396	AVALIACAO DE DISTRITOS MINEIROS	Indústria
4398	FOMENTO A PESQUISA E DESENVOLVIMENTO NA AREA DE TRANSITO	Urbanismo
4405	TELEATENDIMENTO PREVIDENCIARIO	Previdência Social
4414	EDUCACAO PARA A CIDADANIA NO TRANSITO	Urbanismo
4420	FUNCIONAMENTO DO CONSELHO DAS CIDADES	Urbanismo
4450	APRESTAMENTO DO EXERCITO	Defesa Nacional
4482	JULGAMENTO DE RECURSOS ADMINISTRATIVOS A MULTAS DE TRANSITO	Transporte
4525	APOIO A MANUTENCAO DE UNIDADES DE SAUDE	Saúde
4528	PRODUCAO DE MATERIAL DE EMPREGO MILITAR	Defesa Nacional
4542	FOMENTO A PROJETOS DE TRANSFORMACAO DA BIODIVERSIDADE AMAZONICA	Ciência e Tecnologia
4572	CAPACITACAO DE SERVIDORES PUBLICOS FEDERAIS EM PROCESSO DE QUALIFICACAO E REQUALIFICACAO	Previdência Social
4590	QUALIFICACAO E CERTIFICACAO NO TURISMO	Comércio e Serviços
4640	CAPACITACAO DE RECURSOS HUMANOS PARA A COMPETITIVIDADE	Trabalho
4641	PUBLICIDADE DE UTILIDADE PUBLICA	Administração
4664	CAPACITACAO PARA O DESENVOLVIMENTO REGIONAL E O ORDENAMENTO TERRITORIAL E CONCESSAO DE BOLSAS DE ESTUDOS PARA PROGRAMAS DE POS-GRADUACAO EM DESENVOLVIMENTO REGIONAL E AREAS AFINS	Administração
4693	SEGURANCA INSTITUCIONAL DO PRESIDENTE DA REPUBLICA E DO VICE-PRESIDENTE DA REPUBLICA, RESPECTIVOS FAMILIARES, E OUTRAS AUTORIDADES	Administração
4699	OUTORGA DE GERACAO, TRANSMISSAO E DISTRIBUICAO DE ENERGIA ELETRICA	Energia
4703	REGULAMENTACAO DOS SERVICOS DE ENERGIA ELETRICA	Energia
4705	APOIO FINANCEIRO PARA AQUISICAO E DISTRIBUICAO DE MEDICAMENTOS DO COMPONENTE ESPECIALIZADO DA ASSISTENCIA FARMACEUTICA	Saúde
4727	DIAGNOSTICOS, PROSPECCOES E ESTRATEGIAS DO DESENVOLVIMENTO BRASILEIRO	Administração
4732	ESTUDOS SOBRE CONJUNTURA ECONOMICA E INVESTIMENTOS PUBLICOS	Administração
4741	SISTEMA DE INTEGRACAO DAS ACOES DE EMPREGO, TRABALHO E RENDA	Trabalho
4743	COORDENACAO E GOVERNANCA DAS EMPRESAS ESTATAIS FEDERAIS	Administração
4767	SISTEMA DE INFORMACOES SOBRE A INSPECAO DO TRABALHO - SFIT	Trabalho
4786	CAPACITACAO E MONITORAMENTO DA JUVENTUDE RURAL (PROJETO AMANHA)	Trabalho
4815	FUNCIONAMENTO DAS UNIDADES DESCENTRALIZADAS	Trabalho
4858	PROMOCAO E DISSEMINACAO DO USO DA CERTIFICACAO DIGITAL - ICP - BRASIL	Administração
4872	LEVANTAMENTOS AEROGEOFISICOS	Indústria
4880	FISCALIZACAO DOS SERVICOS DE ENERGIA ELETRICA	Energia
4887	ESTUDOS PARA O PLANEJAMENTO DOS SETORES DE GEOLOGIA, MINERACAO E TRANSFORMACAO MINERAL	Indústria
4892	PLANEJAMENTO DOS SETORES DE PETROLEO, DERIVADOS, GAS NATURAL E BIOCOMBUSTIVEIS	Energia
4897	PLANEJAMENTO DO SETOR ENERGETICO	Energia
4901	FUNCIONAMENTO DO CONSELHO NACIONAL DE SEGURANCA ALIMENTAR E NUTRICIONAL	Administração
4906	DISQUE DIREITOS HUMANOS	Direitos da Cidadania
4907	OUVIDORIA GERAL DO DESENVOLVIMENTO SOCIAL	Assistência Social
4909	FUNCIONAMENTO DE CURSOS DE POS-GRADUACAO EM BOTANICA E MEIO AMBIENTE	Gestão Ambiental
4912	AUDITORIA E FISCALIZACAO NOS PRESTADORES DE SERVICO DE CERTIFICACAO DIGITAL E NORMATIZACAO DA ICP - BRASIL	Administração
4917	OPERACIONALIZACAO, MANUTENCAO E MODERNIZACAO DA AUTORIDADE CERTIFICADORA RAIZ DA INFRAESTRUTURA DA ICP - BRASIL	Administração
4923	PRODUCAO E DISSEMINACAO DE INFORMACAO E CONHECIMENTO PARA GESTAO DE POLITICAS DE DESENVOLVIMENTO SOCIAL	Assistência Social
4926	REGULACAO E FISCALIZACAO DOS USOS DE RECURSOS HIDRICOS, DOS SERVICOS DE IRRIGACAO E ADUCAO DE AGUA BRUTA E DA SEGURANCA DE BARRAGENS	Gestão Ambiental
4947	FOMENTO A PROJETOS INSTITUCIONAIS DE CIENCIA E TECNOLOGIA	Ciência e Tecnologia
4949	FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NA REGIAO AMAZONICA (CT-AMAZONIA)	Ciência e Tecnologia
4969	CONTROLE, MONITORAMENTO, TRIAGEM, RECUPERACAO E DESTINACAO DE ANIMAIS SILVESTRES	Gestão Ambiental
5176	IMPLANTACAO DO TRECHO ELDORADO-VILARINHO DO SISTEMA DE TRENS URBANOS DE BELO HORIZONTE - MG	Urbanismo
5246	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO VARZEAS DE SOUSA COM 4.391 HA NO ESTADO DA PARAIBA	Agricultura
5252	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO FLORES DE GOIAS COM 26.500 HA NO ESTADO DE GOIAS	Agricultura
5260	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO PONTAL COM 7.811,91 HA NO ESTADO DE PERNAMBUCO	Agricultura
5308	CONSTRUCAO DA BARRAGEM JEQUITAI NO ESTADO DE MINAS GERAIS	Gestão Ambiental
5314	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO BAIXIO DE IRECE COM 16.615 HA NO ESTADO DA BAHIA	Agricultura
5322	IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO JAIBA COM 21.934 HA NO ESTADO DE MINAS GERAIS	Agricultura
